5
KEY,WORDS,MULTIPLICITY
'bout,what I am 'bout to,1
'bout,I am 'bout to,1
'bout,am 'bout to,1
'bout,'bout to,1
Can't,bring me down Can't nothing,3
Can't,--COMMA-- happy ) Can't nothing,2
Can't,me down Can't nothing,3
Can't,happy ) Can't nothing,2
Can't,down Can't nothing,3
Can't,) Can't nothing,2
Can't,Can't nothing,5
bad,do Here come bad news,1
bad,Here come bad news,1
bad,come bad news,1
bad,bad news,1
Come,you wanna do Come on,1
Come,wanna do Come on,1
Come,do Come on,1
Come,Come on,1
don't,--COMMA-- like I don't care,1
don't,you got --COMMA-- don't hold,1
don't,offence to you don't waste,1
don't,like I don't care,1
don't,got --COMMA-- don't hold,1
don't,to you don't waste,1
don't,I don't care,1
don't,--COMMA-- don't hold,1
don't,you don't waste,1
don't,don't care,1
don't,don't hold,1
don't,don't waste,1
happy,( Because I'm happy ),19
happy,( Happy --COMMA-- happy --COMMA--,4
happy,--COMMA-- happy --COMMA-- happy --COMMA--,4
happy,--COMMA-- happy --COMMA-- happy ),4
happy,Because I'm happy ),19
happy,Happy --COMMA-- happy --COMMA--,4
happy,happy --COMMA-- happy --COMMA--,4
happy,happy --COMMA-- happy ),4
happy,I'm happy ),19
happy,--COMMA-- happy --COMMA--,8
happy,--COMMA-- happy ),4
happy,happy ),23
happy,happy --COMMA--,8
bring,do Uh --COMMA-- bring me,2
bring,Can't nothing --COMMA-- bring me,3
bring,too high to bring me,2
bring,too high To bring me,1
bring,Uh --COMMA-- bring me,2
bring,nothing --COMMA-- bring me,3
bring,high to bring me,2
bring,high To bring me,1
bring,--COMMA-- bring me,5
bring,to bring me,2
bring,To bring me,1
bring,bring me,8
your,you don't waste your time,1
your,don't waste your time,1
your,waste your time,1
your,your time,1
without,like a room without a,6
without,a room without a,6
without,room without a,6
without,without a,6
offence,Yeah ) No offence to,1
offence,) No offence to,1
offence,No offence to,1
offence,offence to,1
if,) Clap along if you,19
if,why Clap along if you,1
if,said Clap along if you,2
if,do Clap along if you,2
if,Clap along if you,24
if,along if you,24
if,if you,24
hey,to you ( hey ),1
hey,you ( hey ),1
hey,( hey ),1
hey,hey ),1
you,she's here --COMMA-- you can,1
you,Clap along if you feel,18
you,Clap along if you know,6
you,happiness is to you (,6
you,like that's what you wanna,6
you,give me all you got,1
you,should probably warn you I'll,1
you,No offence to you don't,1
you,here --COMMA-- you can,1
you,along if you feel,18
you,along if you know,6
you,is to you (,6
you,that's what you wanna,6
you,me all you got,1
you,probably warn you I'll,1
you,offence to you don't,1
you,--COMMA-- you can,1
you,if you feel,18
you,if you know,6
you,to you (,6
you,what you wanna,6
you,all you got,1
you,warn you I'll,1
you,to you don't,1
you,you can,1
you,you feel,18
you,you know,6
you,you (,6
you,you wanna,6
you,you got,1
you,you I'll,1
you,you don't,1
give,Yeah ) Well give me,1
give,) Well give me,1
give,Well give me,1
give,give me,1
nothing,me down Can't nothing --COMMA--,3
nothing,down --COMMA-- can't nothing Bring,1
nothing,happy ) Can't nothing (,2
nothing,down Can't nothing --COMMA--,3
nothing,--COMMA-- can't nothing Bring,1
nothing,) Can't nothing (,2
nothing,Can't nothing --COMMA--,3
nothing,can't nothing Bring,1
nothing,Can't nothing (,2
nothing,nothing --COMMA--,3
nothing,nothing Bring,1
nothing,nothing (,2
(,the way Huh ( Because,1
(,without a roof ( Because,6
(,is the truth ( Because,6
(,is to you ( Because,4
(,this and that ( Yeah,1
(,don't hold back ( Yeah,1
(,be just fine ( Yeah,1
(,bring me down ( Happy,2
(,) Can't nothing ( Happy,2
(,is to you ( ayy,1
(,--COMMA-- ayy ) ( Because,1
(,is to you ( hey,1
(,( hey ) ( Because,1
(,way Huh ( Because,1
(,a roof ( Because,6
(,the truth ( Because,6
(,to you ( Because,4
(,and that ( Yeah,1
(,hold back ( Yeah,1
